ID;Perimeter;Diameter;Age;GreenCones
7;25;8;7;5
44;24;7.6;7;0
2;32;10.2;8;11
4;31;9.9;8;12
6;28;8.9;8;13
1;34;11;9;12
5;37;11.8;9;9
8;38;12.1;10;22
9;39;12.4;10;28
65;41;13;10;32
3;46;14.6;11;55
14;48;15.3;11;64
10;52;16.6;12;72
45;49;15.6;12;34
66;53;16.9;12;55
16;56;17.8;13;56
67;59;18.7;13;62
12;56;20.7;14;56
13;64;20.4;14;78
17;64;20.4;14;102
11;67;21.3;15;91
15;70;22.3;15;76
20;77;24.5;16;54
68;74;23.5;16;65
18;80.5;25.6;17;84
19;80;25.5;17;92
30;86;27.4;18;87
46;84;26.7;18;53
24;90;28.7;19;115
29;90;28.7;19;133
69;95;30.2;19;160
21;98;31.2;20;95
25;96;30.6;20;119
28;104;33.1;21;322
70;107;34;21;250
26;116;36.9;22;142
27;114;36.3;22;75
47;117;37.2;23;95
48;123;39.1;23;136
22;128;40.7;24;170
23;129;41;24;144
31;136;43.3;25;154
34;134;42.6;25;162
43;142;45.2;26;144
51;143;45.5;26;132
54;142;45.2;26;308
36;150;47.8;27;126
56;197;46.8;27;150
64;156;49.6;28;216
35;164;52.2;29;344
55;165;52.5;29;99
39;168;53.5;30;410
53;168;53.5;30;210
33;178;56.7;31;544
71;180;57.3;31;420
37;184;58.6;32;372
32;192;61.1;33;560
50;195;62.1;33;388
52;209;66.5;35;242
72;212;67.5;35;300
40;220;70;36;450
73;215;68.4;36;610
38;230;73.2;38;540
74;220;70;38;510
75;250;79.6;40;615
42;254;80.9;41;630
41;266;84.7;42;550
61;263;83.7;42;500
76;290;92.3;45;480
77;310;98.7;47;650
49;320;101.9;48;644
63;331;105.3;50;710
78;338;107.6;50;650
60;350;11.4;52;680
79;349;111.1;52;750
59;361;114.9;53;840
62;363;115.5;53;560
80;380;121;55;610
81;396;126;57;950
57;412;131.1;58;1150
58;405;128.9;58;1240
82;425;135.3;60;1100
